,fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted,model
0,82.39626455307007,0.029137849807739258,0.7057452123230641,0.70807179172731,0.7057452123230641,0.7051677651586385,LogReg
1,78.36799573898315,0.029977798461914062,0.7174021648626144,0.716894254161515,0.7174021648626144,0.7167142499499254,LogReg
2,88.98225021362305,0.03920269012451172,0.703413821815154,0.7044786484115759,0.703413821815154,0.7027391239922729,LogReg
3,80.80302953720093,0.027179241180419922,0.7032472939217319,0.7040030150148138,0.7032472939217319,0.7028468631730437,LogReg
4,82.88254404067993,0.02779698371887207,0.7110259826782145,0.7114903608806348,0.7110259826782145,0.7104096578560496,LogReg
5,12.238060712814331,0.170518159866333,0.8121565362198169,0.8107838966093178,0.8121565362198169,0.8108663134470564,RF
6,11.318008661270142,0.12947797775268555,0.8184845961698585,0.8171363044766469,0.8184845961698585,0.817740138578651,RF
7,11.350332736968994,0.11501741409301758,0.8128226477935054,0.8124606569014273,0.8128226477935054,0.8122022724871778,RF
8,11.409714698791504,0.12914252281188965,0.8158201498751041,0.8143987855100336,0.8158201498751041,0.8147866500221655,RF
9,11.378822565078735,0.11819171905517578,0.8129580279813458,0.8120240456262023,0.8129580279813458,0.8123139686071367,RF
10,1180.7133774757385,0.08826088905334473,0.8251457119067444,0.8240928658110237,0.8251457119067444,0.8239894326137019,XGB
11,1171.518651008606,0.07039070129394531,0.8296419650291423,0.8279723738204494,0.8296419650291423,0.8283044291979449,XGB
12,1194.4435801506042,0.06336379051208496,0.8219816819317236,0.8205865154938103,0.8219816819317236,0.8210587322345384,XGB
13,1168.6327078342438,0.05570220947265625,0.8284762697751873,0.826843359914663,0.8284762697751873,0.8272859743165417,XGB
14,1146.5349197387695,0.08631253242492676,0.8182878081279147,0.8166994391407854,0.8182878081279147,0.8172317371898823,XGB
15,0.06773996353149414,7.503000259399414,0.7165695253955038,0.7191621823650876,0.7165695253955038,0.7138230064916913,KNN
16,0.04215860366821289,5.105935096740723,0.7165695253955038,0.7185019452853508,0.7165695253955038,0.7130543770127481,KNN
17,0.047011375427246094,5.00258207321167,0.7130724396336386,0.7142097836612719,0.7130724396336386,0.7097067926609224,KNN
18,0.06534647941589355,5.056826591491699,0.7242298084929225,0.724584518316287,0.7242298084929225,0.7216428824511916,KNN
19,0.04219484329223633,5.058111667633057,0.7086942038640907,0.7111552377804532,0.7086942038640907,0.7061591243452862,KNN
20,92.08408188819885,21.590657949447632,0.7155703580349708,0.7202557608890567,0.7155703580349708,0.7145143688826617,SVM
21,94.49940657615662,21.689731121063232,0.7245628642797669,0.7254502444637035,0.7245628642797669,0.7239334180085073,SVM
22,91.60168600082397,21.724714994430542,0.7127393838467944,0.7155428261254125,0.7127393838467944,0.7118702176815584,SVM
23,91.94886708259583,21.59874200820923,0.7110741049125728,0.7140042000035989,0.7110741049125728,0.7103430577985201,SVM
24,92.35339188575745,21.717992782592773,0.7225183211192538,0.7260351838087978,0.7225183211192538,0.7214816440007229,SVM
