,precision,recall,f1-score,support
Acer rubrum L.,0.5494994438264739,0.5311827956989247,0.5401858939311099,930.0
Pinus palustris Mill.,0.9679715302491103,0.9347079037800687,0.951048951048951,1746.0
Quercus alba L.,0.6332547169811321,0.6033707865168539,0.61795166858458,890.0
Quercus coccinea,0.5178571428571429,0.5100502512562815,0.5139240506329114,398.0
Quercus laevis Walter,0.7538461538461538,0.8683544303797468,0.8070588235294117,395.0
Quercus rubra L.,0.6656694091249065,0.7074721780604134,0.6859344894026975,1258.0
accuracy,0.72974897632188,0.72974897632188,0.72974897632188,0.72974897632188
macro avg,0.6813497328141532,0.6925230576153815,0.6860173128549437,5617.0
weighted avg,0.7309948305131354,0.72974897632188,0.7297697934915947,5617.0
